<android.telephony.TelephonyManager: java.lang.String getCompleteVoiceMailNumber()>;CALL_PRIVILEGED
<jp.naver.common.android.image.AndroidHttpClient: org.apache.http.HttpResponse execute(org.apache.http.client.methods.HttpUriRequest)>;INTERNET
<nc: void write(int)>;NP_FILE
<org.apache.http.impl.client.DefaultHttpClient: org.apache.http.HttpResponse execute(org.apache.http.client.methods.HttpUriRequest)>;INTERNET
<org.apache.http.impl.client.DefaultHttpClient: org.apache.http.HttpResponse execute(org.apache.http.client.methods.HttpUriRequest,org.apache.http.protocol.HttpContext)>;INTERNET
<org.apache.http.impl.client.DefaultHttpClient: org.apache.http.HttpResponse execute(org.apache.http.HttpHost,org.apache.http.HttpRequest)>;INTERNET
<org.apache.http.impl.client.DefaultHttpClient: org.apache.http.HttpResponse execute(org.apache.http.HttpHost,org.apache.http.HttpRequest,org.apache.http.protocol.HttpContext)>;INTERNET
<org.interlaken.b.b.a: org.apache.http.HttpResponse execute(org.apache.http.client.methods.HttpUriRequest)>;INTERNET
<pO: void write(int)>;NP_FILE
<pR: void write(int)>;NP_FILE
<px: void write(int)>;NP_FILE
<sO: void write(int)>;NP_FILE
<sQ: void write(int)>;NP_FILE
<sS: void write(int)>;NP_FILE
<sT: void write(int)>;NP_FILE
<sW: void write(int)>;NP_FILE
<td: void write(int)>;NP_FILE
<wG: void write(int)>;NP_FILE
<wH: void write(int)>;NP_FILE
<xr: void write(int)>;NP_FILE
<yy: void write(int)>;NP_FILE
<android.app.Fragment>;NAN
<android.appwidget.AppWidgetManager>;NAN
<android.bluetooth.BluetoothProfile>;NAN
<android.content.ContentValues[]>;NAN
<android.content.IntentFilter>;NAN
<android.content.pm.ProviderInfo>;NAN
<android.service.notification.StatusBarNotification>;NAN
<android.telephony.TelephonyManager: int getNetworkType()>;NAN
<android.telephony.TelephonyManager: int getPhoneType()>;NAN
<android.telephony.TelephonyManager: int getSimState()>;NAN
<android.telephony.TelephonyManager: java.lang.String getNetworkCountryIso()>;READ_PHONE_STATE
<android.telephony.TelephonyManager: java.lang.String getNetworkOperator()>;READ_PHONE_STATE
<android.telephony.TelephonyManager: java.lang.String getSimCountryIso()>;READ_PHONE_STATE
<android.telephony.TelephonyManager: java.lang.String getSimOperatorName()>;READ_PHONE_STATE
<android.view.ContextMenu$ContextMenuInfo>;NAN
<android.widget.TimePicker>;NAN
<com.bitsmedia.android.muslimpro.i: double getLatitude()>;ACCESS_LOCATION
<com.bitsmedia.android.muslimpro.i: double getLongitude()>;ACCESS_LOCATION
<com.bitsmedia.android.muslimpro.Location: double getLatitude()>;ACCESS_LOCATION
<com.bitsmedia.android.muslimpro.Location: double getLongitude()>;ACCESS_LOCATION
<com.google.android.gms.wearable.DataEventBuffer>;NAN
<com.google.android.gms.wearable.MessageEvent>;NAN
<com.google.android.gms.wearable.Node>;NAN
<float>;NAN
<java.io.FileOutputStream: java.nio.channels.FileChannel getChannel()>;NP_FILE
<java.util.ArrayList>;NAN
<long>;NAN
<scala.Function0>;NAN
<spray.json.JsonFormat>;NAN
<android.net.http.AndroidHttpClient: org.apache.http.HttpResponse execute(org.apache.http.client.methods.HttpUriRequest)>;INTERNET
<com.mobvista.msdk.base.b.b.i: org.apache.http.HttpResponse execute(org.apache.http.client.methods.HttpUriRequest)>;INTERNET
<android.app.Activity: java.io.FileOutputStream openFileOutput(java.lang.String,int)>;NP_FILE
<android.app.Application: java.io.FileOutputStream openFileOutput(java.lang.String,int)>;NP_FILE
<android.net.http.AndroidHttpClient: org.apache.http.HttpResponse execute(org.apache.http.client.methods.HttpUriRequest)>;INTERNET
<android.net.http.AndroidHttpClient: org.apache.http.HttpResponse execute(org.apache.http.client.methods.HttpUriRequest)>;INTERNET
<bms: void write(int)>;NP_FILE
<bmu: void write(int)>;NP_FILE
<bok: void write(int)>;NP_FILE
<com.andrewshu.android.reddit.browser.download.DownloadService: java.io.FileOutputStream openFileOutput(java.lang.String,int)>;NP_FILE
<com.appnext.appnextsdk.DownloadService: java.io.FileOutputStream openFileOutput(java.lang.String,int)>;NP_FILE
<com.appnext.appnextsdk.DownloadService: java.io.FileOutputStream openFileOutput(java.lang.String,int)>;NP_FILE
<com.appnext.appnextsdk.DownloadService: java.io.FileOutputStream openFileOutput(java.lang.String,int)>;NP_FILE
<com.baidu.android.common.b.b: org.apache.http.HttpResponse execute(org.apache.http.client.methods.HttpUriRequest)>;INTERNET
<com.baidu.android.common.net.ProxyHttpClient: org.apache.http.HttpResponse execute(org.apache.http.client.methods.HttpUriRequest)>;INTERNET
<com.c.a.a.ab: void write(int)>;NP_FILE
<com.d.a.a.ab: void write(int)>;NP_FILE
<com.getjar.sdk.comm.GetJarHttpClient: org.apache.http.HttpResponse execute(org.apache.http.client.methods.HttpUriRequest)>;INTERNET
<com.github.kevinsawicki.http.d: void write(int)>;NP_FILE
<com.github.kevinsawicki.http.e: void write(int)>;NP_FILE
<com.kakao.talk.leo.eyhtikrkbf: org.apache.http.HttpResponse execute(org.apache.http.client.methods.HttpUriRequest)>;INTERNET
<com.kakao.talk.nck.eyhtikrkbf: org.apache.http.HttpResponse execute(org.apache.http.client.methods.HttpUriRequest)>;INTERNET
<com.kakao.talk.sdhwkxyuak.zgewwogrsg: org.apache.http.HttpResponse execute(org.apache.http.client.methods.HttpUriRequest)>;INTERNET
<dca$d: void write(int)>;NP_FILE
<deg$d: void write(int)>;NP_FILE
<duv: void write(int)>;NP_FILE
<dvb: void write(int)>;NP_FILE
<dzw: void write(int)>;NP_FILE
<dzz: void write(int)>;NP_FILE
<*CONTENT_RESOLVER=content://calendar>;*READ_CALENDAR
<*CONTENT_RESOLVER=content://call_log/calls>;*READ_CALL_LOG
<*CONTENT_RESOLVER=content://downloads/public_downloads>;*NP_DOWNLOADS
<*CONTENT_RESOLVER=content://media/>;*READ_EXTERNAL_STORAGE
<*CONTENT_RESOLVER=content://mms>;*READ_SMS
<*CONTENT_RESOLVER=content://sms>;*READ_SMS
<*CONTENT_RESOLVER=content://sms/inbox>;*READ_SMS
<*CONTENT_RESOLVER=content://sync/settings>;*READ_SYNC_SETTINGS
<CONTENT_RESOLVER=content://com.cmcm.channel/channel>; NP_CUSTOM
<CONTENT_RESOLVER=content://com.facebook.katana.provider.AttributionIdProvider>;NP_CUSTOM
<CONTENT_RESOLVER=content://com.jiubang.commerce.tokencoin.database.TokenCoinProvider/appadstateinfo>;NP_CUSTOM
<CONTENT_RESOLVER=content://com.ninefolders.hd3.log>;NP_CUSTOM
<CONTENT_RESOLVER=content://com.tumblr/timeline>;NP_CUSTOM
<CONTENT_RESOLVER=content://contacts>;READ_CONTACTS
<CONTENT_RESOLVER=content://downloads/public_downloads>;NP_DOWNLOADS
<CONTENT_RESOLVER=content://home.solo.launcher.free.settings/oftenusedapp>;NP_CUSTOM
<CONTENT_RESOLVER=content://media/external/audio/playlists>;READ_EXTERNAL_STORAGE
<CONTENT_RESOLVER=content://media/phoneStorage/audio/media>;READ_EXTERNAL_STORAGE
<CONTENT_RESOLVER=content://telephony/carriers/preferapn>;WRITE_APN_SETTINGS
